name,location,suburb,spectrum,price,atmosphere,desc,oneLiner,tags,image,rating,reviews,lat,lng,signature
Wide Open Road,Brunswick,Brunswick,3,3,cozy|lively,데일리로 마시기 좋은 부드러움과 단맛. 브런치와 곁들이기 좋음.,편안한 분위기의 브런치 카페에서 즐기는 부담 없는 커피.,Balance ⭐⭐⭐|Brunch,wide-open-road.jpg,4.3,2500,-37.7763047,144.9612147,스페셜티 커피
Industry Beans,Fitzroy/Collingwood,CBD,3,4,modern|lively,하이테크 로스팅. 구조감이 좋고 깔끔함. 버블 커피 등 독창적 메뉴.,"세련된 공간, 과학적으로 설계된 맛.",Balance ⭐⭐⭐|High-Tech,industry-beans.jpg,4.2,3000,-37.8154635,144.963264,Fitzroy Ice
Dukes Coffee Roasters,CBD,CBD,4,3,cozy|unique,유기농 원두. 부드러운 목 넘김과 고소함 강조. 라떼 맛집.,시내에서 가장 우아하고 부드러운 라떼를 파는 곳.,Nutty ⭐⭐⭐⭐|Organic,dukes-coffee-roasters.jpg,4.7,4500,-37.816791,144.966162,Gesha
Rumble Coffee,Others,Kensington,4.5,3,cozy,다크 초콜릿과 라즈베리 잼 풍미. 묵직한 바디감이 특징.,강렬한 펀치 한 방. 묵직하고 진한 커피.,Nutty ⭐⭐⭐⭐|Heavy Body,rumble-coffee.jpg,4.9,400,-37.7923272,144.934491,Magic
Padre Coffee,Brunswick,South Melbourne,5,3,cozy,카라멜과 밀크 초콜릿 향 지배적. 매우 부드럽고 달콤함.,아빠 미소처럼 포근하고 달콤 고소한 커피.,Nutty ⭐⭐⭐⭐⭐|Sweet,padre-coffee.jpg,4.5,1000,-37.8325381,144.9563457,Magic
Commonfolk Coffee,Others,Mornington,5,3,lively|cozy,진한 흑설탕과 고소함. 대중적인 입맛을 완벽히 사로잡음.,교외로 나간다면 필참. 마음까지 따뜻해지는 고소하고 진한 맛.,Nutty ⭐⭐⭐⭐⭐|Community,commonfolk-coffee.jpg,4.6,2000,-38.2348961,145.0576163,Iced Mocha
Brother Baba Budan,CBD,CBD,5,3,unique|lively,세븐 시즈 원두 사용. 우유 메뉴 위주로 빠르게 서빙. 천장의 의자.,멜번 시내 한복판에서 즐기는 빠르고 진한 카페인 충전.,Nutty ⭐⭐⭐⭐⭐|Busy,brother-baba-budan.jpg,4.6,5000,-37.813541,144.9620988,Iced Latte
Monk Bodhi Dharma,Others,Balaclava,5,3,unique|cozy,붉은 벽돌 뒤 숨겨진 곳. 흙내음(Earthy)나고 묵직함. 비건 프렌들리.,나만 알고 싶은 아지트에서 마시는 깊고 진한 커피.,Nutty ⭐⭐⭐⭐⭐|Vegan Friendly,monk-bodhi-dharma.jpg,4.6,1500,-37.8680073,144.9908547,스페셜티 커피
Higher Ground,CBD,CBD,5,5,unique|lively,웅장한 공간. 대중적이고 호불호 없는 고소하고 크리미한 라떼.,호텔 로비 같은 웅장함 속에서 즐기는 안정적인 맛.,Nutty ⭐⭐⭐⭐⭐|Grand,higher-ground.jpg,4.2,5000,-37.8158034,144.9530273,스페셜티 커피
Auction Rooms,North Melbourne,North Melbourne,5,4,lively|cozy,편안한 맛을 제공. 공간이 넓고 쾌적해 여유로움.,올드 스쿨 멜번 바이브. 편안하고 익숙한 맛.,Nutty ⭐⭐⭐⭐⭐|Relaxed,auction-rooms.jpg,4.4,4000,-37.8025013,144.9494883,Butterfly Pea Velvet Coffee
The Kettle Black,South Melbourne,South Melbourne,4,4,modern|unique,고급스러운 인테리어. 정돈되고 깔끔한 고소함.,"눈과 입이 모두 즐거운, 가장 우아한 브런치 & 커피.",Nutty ⭐⭐⭐⭐|Elegant,the-kettle-black.jpg,4.3,4000,-37.8340784,144.9713383,스페셜티 커피
Little Rogue.,CBD,CBD,2,3,unique|cozy,"골목에 숨어있지만 독특하고 활기찬 분위기의 카페로, 한국인 직원들의 재치 있는 응대가 인상적입니다. 케냐 싱글 오리진 등 개성 있는 커피들이 적절한 산미와 밸런스를 자랑합니다.","골목 속 숨은 보석, 개성 있는 커피를 만나다.",Acidity ⭐⭐⭐⭐|Unique,little-rogue.jpg,4.6,1784,-37.810993,144.964066,Matcha Latte
Project Zero Coffee Meriton Suites,CBD,CBD,1,4,modern|unique,"건물 사이 숨겨진 모던한 카페로, 딸기, 자두 등 과일향이 풍부하며 산미가 돋보이는 커피를 제공합니다. 산미를 즐기는 분들에게 특히 롱블랙과 라떼가 극찬받으며, 멜버른 스타일의 친절한 서비스까지 경험할 수 있습니다.","과일향 가득한 산미, 잊을 수 없는 호주 최고의 커피 경험.",Acidity ⭐⭐⭐⭐⭐|Fruity,project-zero-coffee-meriton-suites.jpg,4.7,425,-37.81688,144.9561555,Strawberry coffee
Palace Coffee,CBD,CBD,3,3,cozy|lively,"멜버른 CBD 골목에 숨겨진 아늑하고 활기찬 카페로, 강렬하고 풍부한 커피에 자두와 같은 과일 향이 어우러져 독특한 미식 경험을 선사합니다.","골목 속 숨겨진 보석, 멜버른 스페셜티 커피의 정수",Balance ⭐⭐⭐⭐⭐|Hidden Gem,palace-coffee.jpg,4.9,138,-37.8129368,144.9724716,Cold Brew
Overlay Coffee,CBD,CBD,4,4,modern|unique,"독창적인 크림 베이스의 스페셜티 커피로 유명한 곳으로, 특히 땅콩 크림 커피는 고소하고 부드러운 단맛이 조화롭게 어우러져 특별한 경험을 선사합니다. 모던하면서도 따뜻한 분위기이지만 공간이 협소하여 여유로운 시간을 보내기보다는 테이크아웃에 더 적합할 수 있습니다.","겹겹이 쌓이는 고소함, 오버레이 커피의 시그니처 크림 커피.",Nutty ⭐⭐⭐⭐|Signature,overlay-coffee.jpg,4.5,576,-37.8115782,144.9602798,Peanut Butter Latte
The League of Honest Coffee,CBD,CBD,4,3,modern|unique,"이 카페는 밀도감 있는 플랫화이트로 유명하며, 훌륭한 커피 맛과 함께 독특하고 자신감 있는 분위기를 자랑합니다. 특히 시그니처 아보카도 토스트는 커피와 함께 완벽한 조합을 이룹니다.",밀도 높은 플랫화이트와 시그니처 토스트가 유명한 곳.,Nutty ⭐⭐⭐⭐|Signature,the-league-of-honest-coffee.jpg,4.5,891,-37.8092401,144.9684912,Flat white
Otherside Coffee,CBD,CBD,2,3,lively|modern,"멜버른 CBD에 위치한 이곳은 활기차고 모던한 분위기 속에서 친절한 직원들을 만날 수 있습니다. 산미 있는 커피를 선호하는 분들께 추천하며, 롱블랙과 블루베리 스콘이 특히 인상적입니다.","활기찬 CBD에서 즐기는, 산미 가득한 특별한 한 잔",Acidity ⭐⭐⭐⭐|Unique,otherside-coffee.jpg,4.6,560,-37.8139653,144.9676798,Almond milk flat white
Spyglass Coffee,CBD,CBD,4,3,cozy|lively,"스파이글래스 커피는 나무 톤 인테리어와 큰 창으로 밝고 편안한 분위기를 자아내며, 산미가 과하지 않고 스모키하면서도 부드러운 커피 맛이 특징입니다. 친절한 직원들과 함께 멜버른 CBD에서 편안하게 즐기기 좋은 곳입니다.",부드럽고 스모키한 커피와 편안한 분위기의 CBD 오아시스,Nutty ⭐⭐⭐⭐|Comfort,spyglass-coffee.jpg,4.8,70,-37.8179319,144.9624049,Spyglass house blend
Traveller Coffee,CBD,CBD,5,3,cozy|lively,"조용한 골목길에 숨어있는 아늑하고 따뜻한 공간으로, 피크 시간대에는 활기찬 분위기를 느낄 수 있습니다. 깊고 부드러운 풍미의 커피는 정성껏 내려져 특별한 휴식을 선사합니다.","멜버른 골목길의 숨겨진 보석, 깊은 풍미의 커피와 함께하는 편안한 휴식.",Nutty ⭐⭐⭐⭐⭐|Hidden Gem,traveller-coffee.jpg,4.7,348,-37.8115346,144.9712022,스페셜티 커피
Flinch Coffee & Play Lt Lonsdale,CBD,CBD,3,2,unique|cozy,"이곳은 그림을 그리며 휴식과 창의력을 즐길 수 있는 특별한 카페입니다. 아늑하고 밝은 공간에서 맛있는 말차 음료와 함께 편안한 시간을 보낼 수 있으며, 친구나 연인과 함께 특별한 추억을 만들기에 좋습니다.",예술과 커피가 만나는 도심 속 특별한 창작 공간,Balance ⭐⭐⭐|Creative,flinch-coffee-play-lt-lonsdale.jpg,4.9,230,-37.8085362,144.9709184,Matcha White Chocolate
Plus Coffee & Co,CBD,CBD,3,1,cozy,"멜버른 CBD에 위치한 아늑하고 작은 카페로, 부드럽고 균형 잡힌 커피와 함께 저렴하고 맛있는 식사 메뉴를 제공합니다. 바쁜 현대인들을 위한 최고의 가성비 스팟입니다.","CBD에서 만나는 가성비 좋은, 부드럽고 균형 잡힌 커피와 식사.",Balance ⭐⭐⭐⭐⭐|Value,plus-coffee-co.jpg,4.6,336,-37.8171645,144.9648549,Tiramisu Latte
Fabian,CBD,CBD,2,3,cozy,"멜번 로컬 분위기에서 지친 몸을 쉬어가기 좋은 아늑한 카페입니다. 적당한 산미와 고소함이 조화롭게 어우러지며, 식을수록 베리 노트가 올라오는 깔끔한 커피를 즐길 수 있습니다.","멜번에서 만나는 편안함, 베리향 커피 한 잔",Acidity ⭐⭐⭐⭐|Local Gem,fabian.jpg,4.6,409,-37.8115126,144.9643699,스페셜티 커피
Little Tommy Tucker,Others,Bentleigh,4,4,cozy,"벤틀리에 위치한 아늑하고 편안한 동네 카페로, 신선한 인테리어와 친근한 분위기가 돋보입니다. 듀크스 커피 로스터스의 원두를 사용한 부드럽고 균형 잡힌 커피와 든든한 브런치 메뉴를 즐길 수 있습니다.",아늑한 공간에서 즐기는 벤틀리의 편안한 브런치와 커피.,Nutty ⭐⭐⭐⭐|Brunch Spot,little-tommy-tucker.jpg,4.4,748,-37.918436,145.0380489,스페셜티 커피
Fieldwork Coffee,CBD,CBD,4,3,cozy|lively,"멜버른 드그레이브스 거리에 위치한 작지만 아늑한 카페로, 친절한 직원들이 반겨줍니다. 부드럽고 크리미한 커피 맛이 특징이며, 라떼로 즐기기 좋습니다.","친절함과 부드러운 커피, 드그레이브스 거리의 작은 안식처",Nutty ⭐⭐⭐⭐|Local Gem,fieldwork-coffee.jpg,4.8,78,-37.8175798,144.9658243,스페셜티 커피
Moment Coffee,CBD,CBD,3,4,modern|cozy,"차분하고 미니멀한 분위기에서 부드럽고 균형 잡힌 커피와 독특한 말차, 자스민 커피를 즐길 수 있는 아늑한 공간입니다. 편안한 휴식이나 조용한 업무에 적합하며, 친절한 서비스가 인상적입니다.",이름처럼 편안하고 특별한 순간을 선사하는 곳,Balance ⭐⭐⭐⭐⭐|Serene,moment-coffee.jpg,4.8,106,-37.8122683,144.9582693,Jasmine coffee
Bearded Brothers Espresso - Coffee,CBD,CBD,4,3,cozy|lively,"멜버른 CBD에 위치한 작지만 활기찬 에스프레소 바입니다. 진하고 고소한 커피 맛으로, 바쁜 일상 속에서도 잠시 멈춰 에너지를 충전하기 좋습니다.",멜버른 CBD 속 작지만 강한 커피 에너지,Nutty ⭐⭐⭐⭐|Local Favorite,bearded-brothers-espresso-coffee.jpg,4.8,202,-37.8152547,144.9633138,Mocha
Cafe Tomi,North Melbourne,North Melbourne,4,4,cozy|unique,"작지만 아늑하고 따뜻한 분위기에서 재즈 음악과 함께 편안함을 느낄 수 있는 카페입니다. 부드러운 뒷맛의 커피와 시그니처 코코 클라우드, 다크 초콜릿 베이스의 음료 등 다채로운 맛을 즐길 수 있습니다.","재즈 선율 속, 아늑한 휴식과 달콤한 커피 한 잔 ☕️",Nutty ⭐⭐⭐⭐|Jazz,cafe-tomi.jpg,4.7,179,-37.8006736,144.9533171,Hot choc-berry
MAKER Lt Bourke,CBD,CBD,2,3,modern|lively,멜버른 CBD에 위치한 이곳은 아침 시간 활기찬 분위기에서 모던한 인테리어와 외부 좌석을 즐기기 좋습니다. 산미 있는 커피를 선호하는 이들에게 롱블랙과 핸드드립이 특히 만족스러울 것입니다.,"멜버른 CBD의 활기찬 아침을 여는, 산미 좋은 커피와 친절함이 있는 공간",Acidity ⭐⭐⭐⭐|Vibrant,maker-lt-bourke.jpg,4.5,625,-37.8137885,144.9613945,롱블랙
